normalword,choice1,choice2,choice3,choice4,correct
กิน,ทรงวางพระราชดำริ,ทรงรับรอง,ทรงอ่าน,เสวย,เสวย
นั่ง,ทอดพระเนตร,รับสั่ง,ทรงพระดำริถึง,ประทับ,ประทับ
ตาย,จารึก,ทรงสอบ,สวรรคต,ทรงวางแผน,สวรรคต
เกิด,ทรงอ่าน,ประสูติ,ทรงเครื่อง,กราบทูล,ประสูติ
อาบน้ำ,ทรงรับรอง,ประทับ,สรง,ดำริ,สรง
นอน,ทรงประกอบพิธี,บรรทม,ทรงวางแผน,ทรงรักษา,บรรทม
เดินทาง,เสด็จ,ทรงนิพนธ์เพลง,ทรงวางแผน,ทรงสอบ,เสด็จ
พูด,ทรงสถาปนา,ตรัส,สรง,สดับพระบรรเลง,ตรัส
ให้,ประทับ,จารึก,พระราชทาน,ทรงช่วย,พระราชทาน
เจ็บป่วย,พระราชทานทรัพย์,ทรงเปิดงาน,บรรทม,ประชวร,ประชวร
ชื่อ,เข้าเฝ้าฯ,พระนาม,อภิเษกสมรส,ทรงวางพระราชดำริ,พระนาม
นามสกุล,พระนาม,พระราชทาน,ทรงสวดภาวนา,ราชสกุล,ราชสกุล
ถาม,ตรัสตอบ,ทูลถาม,ทรงศึกษา,ทรงมี,ทูลถาม
ตอบ,เสด็จขึ้น,เจรจา,ทรงชี้,ตรัสตอบ,ตรัสตอบ
เห็น,เสด็จขึ้น,ทรงพระราชนิพนธ์,ทอดพระเนตร,ทรงศึกษา,ทอดพระเนตร
กินยา,เสวยพระโอสถ,ทอดพระเนตร,เสด็จทางชลมารค,เสด็จมา,เสวยพระโอสถ
พักผ่อน,ทรงสอน,เสด็จกลับ,ทรงมี,บรรทม,บรรทม
ยิ้ม,กราบบังคมทูลขอ,ทรงสั่งสอน,แย้มพระโอษฐ์,ทรงศึกษา,แย้มพระโอษฐ์
ฟัง,ตรัส,ทรงรำ,สดับ,ทรงรับรอง,สดับ
นึก/คิด,ทอดพระเนตรชม,ทรงแสดง,ดำริ,เสด็จ,ดำริ
พูดคุย,ทรงกีฬา,เจรจา,ทรงสอบ,มีพระราชประกาศ,เจรจา
แต่งตัว,ทรงพระราชนิพนธ์,สดับ,ทรงเครื่อง,ทรงดูแล,ทรงเครื่อง
ออกกำลังกาย,ทรงวางแผน,ทรงกีฬา,สรง,ทรงเปิด,ทรงกีฬา
เขียน,ประทับ,ทรงพระราชนิพนธ์,จารึก,รับสั่ง,จารึก
เรียน,ทรงพระราชนิพนธ์,ทรงศึกษา,เสด็จพระราชดำเนิน,เสวยพระโอสถ,ทรงศึกษา
สอน,ทรงวางพระราชดำริ,ทรงพักฟื้น,ทรงสอน,ทรงเลือกตั้ง,ทรงสอน
นั่งรถ,เสด็จดำเนิน,ทรงศึกษา,เสด็จบรรทม,โดยเสด็จ,โดยเสด็จ
สั่ง,ทรงขับร้อง,สดับพระบรรเลง,ตรัสตอบ,มีพระบรมราชโองการ,มีพระบรมราชโองการ
รับ,ทรงเตรียม,รับสั่ง,กราบทูล,ทรงสอน,รับสั่ง
เปิด,ทรงเปิด,ทรงนิพนธ์เพลง,เจรจา,ราชสกุล,ทรงเปิด
แต่งงาน,กันแสง,อภิเษกสมรส,ทรงซ่อมแซม,ทอดพระเนตร,อภิเษกสมรส
หายป่วย,ทรงหายประชวร,ประทับ,กราบบังคมทูลขอ,ทรงแสดง,ทรงหายประชวร
เดิน,ทรงเลือก,เสด็จดำเนิน,เข้าเฝ้าฯ,ถวายบังคม,เสด็จดำเนิน
ไป,เสด็จไป,ทอดพระเนตร,เสด็จโดยเครื่องบิน,ทรงปกครอง,เสด็จไป
มา,เสด็จมา,เสด็จขึ้น,ทรงรักษา,สวรรคต,เสด็จมา
มี,กันแสง,ทรงรักษา,ทรงมี,ทรงสอบ,ทรงมี
เลือก,ทรงปกครอง,เสด็จบรรทม,ทรงเลือก,พระราชทานทรัพย์,ทรงเลือก
บอก,ทรงพระราชนิพนธ์,ทรงปฏิบัติ,สวรรคต,รับสั่ง,รับสั่ง
กลับ,เสด็จ,เสด็จกลับ,ทรงอ่าน,ทรงเลือกตั้ง,เสด็จกลับ
ขึ้น,เสด็จขึ้น,เสด็จดำเนิน,ทรงว่ายน้ำ,ทรงมี,เสด็จขึ้น
ลง,เสด็จขึ้น,เสด็จลง,เสด็จกลับ,บรรทม,เสด็จลง
ดู,มีพระราชประกาศ,ทรงสวด,ทรงแสดง,ทอดพระเนตร,ทอดพระเนตร
ฟังเพลง,ทรงปกครอง,เสด็จพระราชดำเนิน,ทรงวางแผน,สดับพระบรรเลง,สดับพระบรรเลง
ฝัน,ทรงพระสุบิน,เสวยพระโอสถ,ตรัสตอบ,ทรงเปิดงาน,ทรงพระสุบิน
พัก,ทรงพระสุบิน,ทรงปกครอง,เสด็จลง,บรรทม,บรรทม
หลับ,มีพระราชประกาศ,บรรทมหลับ,ทรงสั่งสอน,เสด็จบรรทม,บรรทมหลับ
ร้องไห้,บรรทม,กันแสง,สดับพระบรรเลง,สวรรคต,กันแสง
ยืน,ทรงเปิด,ทอดพระเนตร,ทรงรับรอง,ทรงยืน,ทรงยืน
ชี้,ทรงชี้,ทรงพักฟื้น,เสด็จย้าย,รับสั่ง,ทรงชี้
ว่ายน้ำ,ทรงยืน,พระราชทานทรัพย์,ทรงพระดำริถึง,ทรงว่ายน้ำ,ทรงว่ายน้ำ
เล่นกีฬา,ตรัส,พระราชทาน,ทรงกีฬา,ทรงเปิด,ทรงกีฬา
เข้านอน,ทรงประชุม,เสด็จโดยเครื่องบิน,เสด็จบรรทม,ทรงกีฬา,เสด็จบรรทม
ป่วย,ประสูติ,ทรงแสดง,เสด็จดำเนิน,ทรงประชวร,ทรงประชวร
แสดง,ทรงปกครอง,ทรงสั่งสอน,ทรงแสดง,ตรัสตอบ,ทรงแสดง
พูดถึง,พระราชทาน,พระนาม,สรง,ตรัสถึง,ตรัสถึง
คิดถึง,ทรงพระดำริถึง,รับสั่ง,เข้าเฝ้าฯ,ทรงกีฬา,ทรงพระดำริถึง
สวดมนต์,ทรงสวด,ทรงสวดมนต์,ทรงขับรถ,ทอดพระเนตร,ทรงสวดมนต์
ไหว้,ราชสกุล,ถวายบังคม,เสด็จเยี่ยม,ทรงชี้,ถวายบังคม
รับแขก,เสด็จไป,ตรัส,ทรงรับรอง,อภิเษกสมรส,ทรงรับรอง
ขอ,กราบบังคมทูลขอ,ทอดพระเนตร,เสด็จบรรทม,ทรงเปิดงาน,กราบบังคมทูลขอ
เขียนหนังสือ,ทรงสวดมนต์,เสวย,ทรงพระราชนิพนธ์,รับสั่ง,ทรงพระราชนิพนธ์
เต้น,ทรงกีฬา,ทรงรำ,ทรงศึกษา,เสวย,ทรงรำ
นั่งเรือ,ทรงประกอบพิธี,ทรงมี,เสด็จทางชลมารค,เสวย,เสด็จทางชลมารค
ขึ้นเครื่องบิน,เสด็จโดยเครื่องบิน,ทรงสั่งสอน,ตรัสตอบ,ทรงศึกษาหาความรู้,เสด็จโดยเครื่องบิน
เรียนรู้,ทรงศึกษาหาความรู้,ทรงช่วย,ประทับ,ทรงพระราชนิพนธ์,ทรงศึกษาหาความรู้
เล่นดนตรี,ถวายบังคม,เสด็จกลับ,เสด็จมา,ทรงดนตรี,ทรงดนตรี
แต่งเพลง,ทรงเครื่อง,ทรงนิพนธ์เพลง,บรรทม,ทรงสถาปนา,ทรงนิพนธ์เพลง
ทำงาน,ทรงพักฟื้น,ทรงงาน,ทรงเลือก,ทรงสอน,ทรงงาน
ประชุม,ทรงสอน,ทรงประชุม,รับสั่ง,เสด็จเยี่ยม,ทรงประชุม
พูดเปิดงาน,ทรงซ่อมแซม,ทรงเปิดงาน,ทูลถาม,ทรงประกอบพิธี,ทรงเปิดงาน
ดูหนัง,แย้มพระโอษฐ์,ทรงพักฟื้น,ทอดพระเนตรภาพยนตร์,ตรัส,ทอดพระเนตรภาพยนตร์
อ่านหนังสือ,ทรงปฏิบัติ,ทรงอ่าน,สวรรคต,ทรงนิพนธ์เพลง,ทรงอ่าน
สอนหนังสือ,ทรงดูแล,ทอดพระเนตร,ทรงสอน,กราบทูล,ทรงสอน
สวด,ทรงเปิดงาน,ทรงสวด,สดับ,ทรงขับร้อง,ทรงสวด
มอบ,ทรงวางแผน,พระราชทาน,บรรทม,ทรงสั่งสอน,พระราชทาน
ช่วย,ทรงช่วย,เสด็จเยี่ยม,ทรงมี,ทรงสอบ,ทรงช่วย
แจ้ง,กราบทูล,ทรงพระดำริถึง,เสด็จ,ทรงสถาปนา,กราบทูล
เดินชมสวน,เสด็จพระราชดำเนิน,พระราชทาน,ทรงสวด,ทรงศึกษาหาความรู้,เสด็จพระราชดำเนิน
สวดภาวนา,พระราชทาน,เสด็จดำเนิน,ทอดพระเนตร,ทรงสวดภาวนา,ทรงสวดภาวนา
ย้าย,เสด็จมา,เสด็จย้าย,เสด็จลง,ทรงสวดมนต์,เสด็จย้าย
เข้าเฝ้า,บรรทม,ทรงแสดง,เข้าเฝ้าฯ,ประสูติ,เข้าเฝ้าฯ
วางแผน,บรรทม,ทูลถาม,ทรงวางแผน,บรรทม,ทรงวางแผน
พักฟื้น,ทรงพักฟื้น,เสวยพระโอสถ,ทรงศึกษาหาความรู้,ประชวร,ทรงพักฟื้น
ร้องเพลง,ทอดพระเนตร,ทรงขับร้อง,เสด็จทางชลมารค,ทรงนิพนธ์เพลง,ทรงขับร้อง
เตรียม,เสด็จขึ้น,ทรงเตรียม,กราบทูล,ทรงสั่งสอน,ทรงเตรียม
คิดแผน,ทรงงาน,ทรงรักษา,ทรงวางพระราชดำริ,ทรงนิพนธ์เพลง,ทรงวางพระราชดำริ
ปฏิบัติ,ดำริ,ทรงปฏิบัติ,ทรงยืน,สดับพระบรรเลง,ทรงปฏิบัติ
เลือกตั้ง,ทรงเลือกตั้ง,ทรงเครื่อง,ทอดพระเนตร,ทรงปฏิบัติ,ทรงเลือกตั้ง
สถาปนา,โดยเสด็จ,ทรงสถาปนา,ทรงมี,ทรงแสดง,ทรงสถาปนา
บริจาค,ทรงวางแผน,มีพระบรมราชโองการ,พระราชทานทรัพย์,ทอดพระเนตรชม,พระราชทานทรัพย์
ทำพิธี,รับสั่ง,ทรงประกอบพิธี,กราบทูล,ทรงพระสุบิน,ทรงประกอบพิธี
ดูแล,เสด็จไป,ทรงสวด,ทรงว่ายน้ำ,ทรงดูแล,ทรงดูแล
ขับรถ,ทรงสวดมนต์,เสด็จมา,ประทับ,ทรงขับรถ,ทรงขับรถ
เล่น,ทรงเครื่อง,ทรงเล่น,ทรงสวด,รับสั่ง,ทรงเล่น
นั่งเล่น,ประทับ,ประชวร,ทรงซ่อมแซม,บรรทม,ประทับ
ซ่อมแซม,ทรงซ่อมแซม,ทรงสวดภาวนา,เสด็จขึ้น,ทรงสอบ,ทรงซ่อมแซม
ประกาศ,ทรงสอน,มีพระราชประกาศ,ทรงปฏิบัติ,ทรงศึกษาหาความรู้,มีพระราชประกาศ
ชม,ทอดพระเนตรชม,ตรัสถึง,จารึก,ตรัสตอบ,ทอดพระเนตรชม
เยี่ยม,เสด็จโดยเครื่องบิน,ทรงพระสุบิน,เสด็จเยี่ยม,ทอดพระเนตร,เสด็จเยี่ยม
สอบ,ทรงสอบ,โดยเสด็จ,ทรงเลือกตั้ง,เสด็จไป,ทรงสอบ